sampleId,buildingType,numFloors,floorHeight,numBeams,numColumns,beamSection,columnSection,concreteStrength,steelGrade,steelGradeName,seismicZone,windLoad,liveLoad,deadLoad,maxDeflection,maxStress,stabilityIndex,seismicResistance
34,residential,5,3.0,84,36,40,60,20,420,S420,Zone 1,0.91,1.85,4.42,154.78,15.48,100.0,83.49
35,commercial,1,4.5,24,9,20,24,25,420,S420,Zone 2,0.91,4.82,6.49,57.36,217.0,63.64,75.09
36,office,8,3.5,60,25,32,50,45,275,S275,Zone 0,1.45,3.84,5.06,11199.49,40.25,100.0,93.56
37,office,20,4.0,220,100,30,30,20,460,S460,Zone 2,0.97,3.87,5.92,4843481.58,57.5,98.87,87.81
38,residential,4,3.0,40,16,40,45,25,420,S420,Zone 0,1.16,2.2,4.07,324.14,16.87,100.0,92.42
39,office,5,4.0,84,36,30,50,25,355,S355,Zone 2,1.02,3.9,5.73,1237.11,52.31,100.0,78.38
40,residential,8,3.3,60,25,26,36,80,235,S235,Zone 4,1.13,1.97,3.83,15772.16,48.72,100.0,70.6
41,commercial,4,4.5,24,9,32,40,40,460,S460,Zone 2,0.99,4.24,5.41,4046.19,45.56,100.0,82.94
42,residential,10,3.0,180,81,60,60,50,275,S275,Zone 1,0.77,1.81,4.63,1583.6,4.43,100.0,90.06
43,commercial,3,4.5,40,16,22,30,40,275,S275,Zone 3,1.14,4.98,6.22,2453.87,172.27,67.89,58.65
44,residential,6,2.7,60,25,22,40,50,275,S275,Zone 3,0.95,2.43,3.98,954.54,96.73,91.89,64.66
45,industrial,1,4.5,24,9,14,36,90,355,S355,Zone 2,0.73,7.0,8.79,222.61,968.84,94.89,83.84
46,office,15,4.5,220,100,60,60,25,460,S460,Zone 0,0.55,2.92,4.35,66095.38,5.04,100.0,93.48
47,office,5,4.0,40,16,32,36,90,235,S235,Zone 0,0.88,3.27,4.31,4126.34,33.75,100.0,100.0
48,commercial,1,4.5,24,9,16,30,45,275,S275,Zone 3,0.73,4.06,5.3,77.04,384.05,74.88,58.48
49,commercial,4,3.5,40,16,24,36,30,355,S355,Zone 1,0.57,4.02,5.64,751.76,109.3,83.49,83.78
50,residential,10,2.7,144,64,36,36,25,420,S420,Zone 2,0.87,1.93,3.26,12035.62,17.53,100.0,82.4
51,office,10,4.5,112,49,50,50,70,235,S235,Zone 0,0.64,3.23,5.7,21426.63,12.28,100.0,98.75
52,residential,8,3.3,112,49,36,60,35,275,S275,Zone 2,1.11,2.48,3.98,2005.13,23.87,100.0,81.02
53,commercial,3,4.0,40,16,18,50,40,275,S275,Zone 1,0.69,4.24,5.23,118.91,251.94,61.32,83.66
54,office,5,3.5,84,36,26,26,45,275,S275,Zone 1,0.79,2.8,5.37,5056.82,69.86,100.0,86.54
55,residential,2,3.3,24,9,22,26,20,460,S460,Zone 3,0.82,2.23,4.88,174.15,98.79,81.11,57.65
56,commercial,3,3.5,40,16,10,20,30,460,S460,Zone 0,0.54,4.91,5.63,2013.67,1769.97,41.7,94.73
57,office,12,4.5,144,64,50,50,50,235,S235,Zone 1,1.53,3.32,5.81,137868.22,10.93,100.0,90.73
58,industrial,2,5.0,40,16,22,22,35,355,S355,Zone 3,0.58,6.24,8.98,908.93,234.8,60.26,58.24
59,commercial,5,3.5,60,25,32,50,35,460,S460,Zone 0,0.73,4.15,5.46,579.69,49.6,100.0,95.98
60,office,10,4.0,180,81,36,60,35,355,S355,Zone 4,0.75,3.14,4.58,7267.32,29.01,100.0,73.13
61,residential,2,2.7,40,16,24,30,35,460,S460,Zone 4,0.64,2.08,4.21,18.05,77.2,100.0,47.99
62,industrial,3,6.0,24,9,20,28,40,275,S275,Zone 3,0.67,9.35,8.08,12220.83,345.83,52.54,65.18
63,residential,4,2.7,24,9,24,50,30,420,S420,Zone 2,0.92,1.85,4.48,144.55,70.09,100.0,76.11
64,office,5,3.5,84,36,28,45,40,235,S235,Zone 1,0.82,2.52,5.33,632.65,63.27,100.0,84.4
65,residential,4,3.3,24,9,40,40,50,235,S235,Zone 1,0.53,2.3,3.7,429.65,15.57,100.0,85.06
66,residential,8,3.3,84,36,22,26,25,275,S275,Zone 2,0.71,2.27,3.21,50199.76,76.3,92.71,78.8
67,commercial,2,4.5,24,9,12,36,20,420,S420,Zone 3,0.93,4.55,5.51,365.42,944.16,44.35,56.98
68,office,6,3.5,84,36,26,26,60,275,S275,Zone 3,1.47,3.71,5.93,24062.65,82.47,100.0,71.83
69,office,6,4.0,84,36,24,40,20,460,S460,Zone 0,0.6,3.13,5.79,5782.36,101.22,83.83,92.23
70,residential,4,3.3,60,25,28,36,40,460,S460,Zone 1,0.64,1.79,4.9,435.37,45.82,100.0,88.22
71,commercial,2,4.0,40,16,24,24,25,355,S355,Zone 2,0.83,4.4,5.44,404.21,113.51,81.6,73.69
72,residential,10,3.0,180,81,45,60,45,275,S275,Zone 2,1.0,1.57,3.81,1981.32,9.99,100.0,84.19
73,residential,2,3.3,24,9,22,32,90,275,S275,Zone 2,0.61,2.41,3.84,31.48,95.45,100.0,82.11
74,residential,3,3.3,24,9,14,22,35,355,S355,Zone 1,0.45,1.86,4.44,1095.57,376.88,49.13,84.45
75,office,10,4.0,144,64,45,45,80,420,S420,Zone 2,0.65,3.77,5.91,14297.07,17.63,100.0,96.45
76,office,6,3.5,40,16,22,60,60,275,S275,Zone 1,0.52,2.5,5.94,456.66,118.21,83.8,90.94
77,residential,8,2.7,60,25,22,50,70,235,S235,Zone 0,0.83,2.23,4.61,1318.93,108.07,92.88,98.75
78,commercial,1,3.5,24,9,14,32,70,460,S460,Zone 2,0.35,5.0,6.11,166.43,631.36,96.41,85.1
79,residential,6,3.3,60,25,26,45,25,420,S420,Zone 3,0.53,1.54,4.19,1274.59,48.81,100.0,67.13
80,residential,6,3.0,84,36,36,50,50,235,S235,Zone 2,0.79,2.02,3.85,473.25,20.05,100.0,79.97
81,office,25,4.5,220,100,45,45,25,355,S355,Zone 0,0.53,2.63,4.08,2809333.78,12.12,100.0,90.69
82,residential,4,3.0,24,9,36,50,40,235,S235,Zone 1,0.36,1.79,3.59,79.08,16.97,100.0,82.7
83,residential,15,2.7,220,100,30,30,60,420,S420,Zone 1,1.25,1.59,3.84,141419.8,35.48,100.0,97.12
84,office,10,3.5,180,81,40,60,90,420,S420,Zone 3,0.71,2.68,4.09,2101.2,15.55,100.0,86.19
85,industrial,3,4.5,24,9,20,32,20,235,S235,Zone 4,1.48,6.98,9.03,5420.08,301.76,52.18,44.31
86,commercial,1,3.5,24,9,10,28,35,460,S460,Zone 0,0.94,4.13,6.78,688.77,1895.43,76.4,95.98
87,commercial,3,3.5,40,16,14,16,60,420,S420,Zone 1,0.61,4.5,5.16,3468.21,591.21,46.86,91.69
88,residential,10,2.7,144,64,45,60,80,355,S355,Zone 1,0.88,1.77,4.76,976.69,11.98,100.0,97.6
89,commercial,5,3.5,40,16,26,60,40,275,S275,Zone 0,0.93,4.88,6.92,442.92,117.01,90.84,92.31
90,residential,8,2.7,84,36,36,40,35,275,S275,Zone 3,0.73,1.79,4.23,3236.98,21.45,100.0,67.72
91,residential,6,2.7,84,36,40,45,30,275,S275,Zone 1,0.86,1.68,4.51,588.8,14.65,100.0,82.67
92,commercial,5,3.5,60,25,22,50,45,235,S235,Zone 0,0.47,4.99,6.35,312.95,177.62,70.66,92.5
93,office,6,3.5,84,36,22,32,30,355,S355,Zone 2,0.85,4.0,4.85,7798.86,125.59,73.67,79.91
94,commercial,3,4.0,40,16,20,26,45,355,S355,Zone 1,1.19,4.43,6.89,2275.35,235.58,59.79,86.72
95,residential,3,3.3,40,16,10,30,45,275,S275,Zone 1,0.27,1.87,4.73,396.12,1169.32,46.93,84.79
96,residential,10,2.7,180,81,36,40,35,355,S355,Zone 3,0.67,2.47,3.37,4467.82,18.25,100.0,72.98
97,office,10,3.5,144,64,60,60,70,420,S420,Zone 0,0.99,3.7,4.62,4021.83,5.63,100.0,100.0
98,residential,4,3.0,60,25,36,45,70,235,S235,Zone 4,1.0,2.25,3.29,114.37,19.51,100.0,49.38
99,residential,5,2.7,60,25,40,60,25,420,S420,Zone 0,0.69,1.58,4.65,79.46,15.21,100.0,92.42
100,industrial,1,5.0,24,9,22,24,80,420,S420,Zone 0,0.98,5.16,9.74,48.18,228.56,71.8,100.0
101,commercial,5,4.0,60,25,28,45,90,355,S355,Zone 3,1.05,4.45,6.29,1487.15,82.93,100.0,75.17
102,residential,2,3.3,24,9,10,40,30,275,S275,Zone 1,0.54,2.37,3.87,328.48,942.48,61.04,81.39
103,residential,6,2.7,40,16,26,30,80,355,S355,Zone 2,0.34,1.76,3.93,1345.71,54.83,100.0,86.78
104,commercial,2,4.0,24,9,10,16,70,420,S420,Zone 0,0.56,4.6,6.59,1436.1,1991.21,42.15,100.0
105,residential,4,3.3,24,9,24,45,40,235,S235,Zone 0,0.91,1.68,3.48,567.14,56.61,100.0,91.25
106,commercial,2,4.0,24,9,16,50,60,235,S235,Zone 2,0.38,4.31,5.8,96.18,360.59,93.17,78.2
107,office,10,3.5,180,81,55,60,90,275,S275,Zone 0,0.59,3.01,5.66,1762.8,8.02,100.0,100.0
108,office,12,4.0,144,64,36,60,40,420,S420,Zone 1,1.42,3.38,5.74,35159.0,29.21,100.0,92.78
109,residential,2,3.3,24,9,16,36,20,355,S355,Zone 1,0.8,2.01,3.08,61.91,220.91,62.37,81.06
110,industrial,1,5.0,24,9,12,40,70,355,S355,Zone 1,0.92,5.15,7.23,359.6,1091.42,93.37,92.38
111,office,20,3.5,220,100,60,60,45,460,S460,Zone 4,0.75,3.97,4.75,79325.82,6.21,100.0,84.55
112,commercial,5,3.5,84,36,40,40,35,235,S235,Zone 2,1.29,4.67,6.15,1766.31,25.52,100.0,76.49
113,office,6,3.5,40,16,22,45,40,460,S460,Zone 1,0.54,3.65,5.85,2010.43,156.14,72.62,90.87
114,commercial,2,3.5,40,16,10,26,45,235,S235,Zone 1,0.74,4.56,5.76,610.8,1704.1,45.28,83.83
115,office,8,4.0,84,36,26,30,60,275,S275,Zone 3,0.9,3.93,5.69,67907.35,94.23,100.0,78.74
116,residential,2,2.7,40,16,16,22,90,275,S275,Zone 2,0.58,1.93,4.79,60.25,289.95,67.44,82.11
117,office,6,3.5,40,16,32,40,25,460,S460,Zone 2,0.93,3.89,5.06,7217.68,40.62,100.0,81.25
118,commercial,2,3.5,24,9,10,45,90,420,S420,Zone 0,0.72,4.11,6.13,563.72,1812.47,72.81,100.0
119,office,12,3.5,144,64,32,40,50,460,S460,Zone 3,0.64,3.42,4.82,41761.02,44.0,100.0,84.21
120,residential,3,2.7,24,9,24,28,35,420,S420,Zone 2,0.78,1.65,3.85,256.65,61.04,100.0,77.12
121,commercial,2,3.5,24,9,20,28,30,420,S420,Zone 1,0.74,4.63,5.12,130.56,188.53,63.65,84.89
122,office,10,4.0,144,64,45,60,70,235,S235,Zone 0,0.82,3.4,4.67,7084.96,15.13,100.0,98.75
123,residential,6,3.3,40,16,40,40,90,235,S235,Zone 2,0.62,2.17,3.14,1911.69,12.83,100.0,86.32
124,office,10,3.5,144,64,36,40,50,420,S420,Zone 2,1.06,3.2,4.12,26351.69,27.74,100.0,89.86
125,residential,6,2.7,84,36,40,45,70,420,S420,Zone 1,0.79,2.43,3.47,328.01,13.9,100.0,95.43
126,industrial,3,4.5,24,9,20,28,35,275,S275,Zone 3,1.32,7.53,6.64,5474.52,265.0,55.19,57.85
127,residential,4,2.7,24,9,24,50,70,235,S235,Zone 1,0.53,2.1,4.03,60.6,71.79,100.0,89.49
128,industrial,3,5.0,40,16,10,30,45,275,S275,Zone 2,1.09,8.61,6.57,3534.49,2615.92,41.33,77.8
129,residential,2,3.3,24,9,14,16,35,275,S275,Zone 2,0.72,2.36,4.85,861.66,434.71,47.96,73.99
130,commercial,1,4.5,24,9,10,22,70,460,S460,Zone 1,0.36,4.14,6.93,646.95,1960.42,59.86,94.92
131,office,6,4.0,60,25,30,40,45,460,S460,Zone 0,1.01,3.08,5.13,7526.43,46.42,100.0,98.48
132,office,12,4.5,220,100,30,60,30,235,S235,Zone 0,0.62,2.65,5.38,22159.12,48.27,100.0,88.75
133,industrial,3,6.0,24,9,16,22,45,275,S275,Zone 0,1.34,5.97,7.47,58359.37,566.38,47.1,93.56
134,commercial,4,4.0,60,25,24,32,45,460,S460,Zone 3,0.47,4.22,5.02,1137.99,118.59,87.58,66.86
135,commercial,6,3.5,84,36,22,60,40,420,S420,Zone 1,0.58,4.86,5.49,388.85,167.25,72.36,89.88
136,office,15,4.0,220,100,32,50,20,235,S235,Zone 0,1.45,3.71,4.15,233493.25,42.2,100.0,86.25
137,residential,8,3.3,112,49,24,45,90,235,S235,Zone 2,0.41,1.65,4.47,1400.89,74.3,100.0,88.97
138,residential,2,3.3,24,9,18,22,60,355,S355,Zone 0,0.89,1.85,3.59,221.48,159.41,71.07,99.44
139,office,5,4.5,60,25,30,45,45,275,S275,Zone 0,0.63,2.94,5.54,2318.37,49.68,100.0,93.56
140,residential,2,3.0,24,9,10,28,70,275,S275,Zone 1,0.77,1.63,3.95,300.54,901.43,50.83,90.46
141,industrial,2,5.0,40,16,12,50,20,275,S275,Zone 1,0.77,7.2,8.45,480.75,1391.1,49.32,79.13
142,residential,3,3.0,24,9,24,32,30,275,S275,Zone 3,0.82,2.42,3.5,326.72,68.83,100.0,56.13
143,commercial,4,4.5,60,25,28,60,90,355,S355,Zone 1,0.86,4.11,6.37,208.09,84.53,100.0,95.61
144,office,5,3.5,60,25,26,36,20,355,S355,Zone 1,0.81,3.81,5.27,3189.71,78.0,96.83,82.73
145,office,4,3.5,24,9,26,26,35,355,S355,Zone 1,1.03,3.33,5.47,7726.32,76.05,100.0,84.92
146,residential,8,3.0,84,36,24,60,45,420,S420,Zone 2,0.6,1.87,3.65,665.78,62.17,100.0,85.88
147,commercial,6,4.5,40,16,28,36,80,355,S355,Zone 0,1.08,4.18,5.06,23046.2,63.84,100.0,100.0
148,residential,4,3.3,24,9,32,40,60,460,S460,Zone 2,0.64,2.1,4.35,505.74,30.42,100.0,83.28
149,commercial,2,4.0,40,16,20,36,80,460,S460,Zone 3,0.65,4.15,5.66,48.44,182.31,79.89,66.24
150,residential,5,3.3,84,36,26,60,45,460,S460,Zone 0,0.7,1.68,4.37,141.15,58.52,100.0,98.48
151,commercial,6,3.5,40,16,28,40,80,275,S275,Zone 0,1.12,4.59,6.4,5192.59,85.69,100.0,100.0
152,residential,10,3.0,180,81,45,45,40,420,S420,Zone 3,0.69,1.63,3.16,4794.21,8.51,100.0,76.9
153,office,12,4.0,144,64,50,60,70,420,S420,Zone 2,1.43,2.59,4.56,27082.6,8.8,100.0,96.37
154,industrial,1,5.0,24,9,12,28,45,420,S420,Zone 0,1.11,8.1,8.25,443.16,1476.16,50.16,97.42
155,commercial,1,4.5,24,9,24,45,90,420,S420,Zone 0,0.95,4.83,6.58,20.46,133.56,100.0,100.0
156,industrial,1,6.0,24,9,18,32,20,355,S355,Zone 1,1.45,5.92,6.09,115.47,328.14,54.0,81.06
157,residential,6,2.7,40,16,40,40,25,420,S420,Zone 2,0.37,2.04,3.16,765.57,13.12,100.0,77.72
158,residential,12,2.7,180,81,32,36,30,460,S460,Zone 2,0.61,1.61,3.71,18395.94,27.85,100.0,85.78
159,office,6,3.5,60,25,36,50,35,460,S460,Zone 2,0.59,3.92,5.12,1172.13,31.75,100.0,83.42
160,office,4,4.5,24,9,24,30,30,420,S420,Zone 1,0.67,3.16,4.39,9857.21,81.29,95.07,86.79
161,residential,8,2.7,60,25,40,50,70,275,S275,Zone 0,0.98,1.82,4.71,1631.82,15.79,100.0,99.81
162,industrial,1,4.5,24,9,24,45,40,420,S420,Zone 3,0.67,9.84,9.43,31.08,236.65,100.0,60.11
163,residential,15,2.7,220,100,45,45,25,420,S420,Zone 4,1.17,1.63,4.37,34587.16,9.66,100.0,72.71
164,commercial,1,4.0,24,9,14,45,70,420,S420,Zone 4,0.42,4.99,6.8,182.95,670.17,96.04,51.84
165,residential,8,3.0,84,36,40,40,60,275,S275,Zone 0,0.52,1.85,3.9,2855.97,14.99,100.0,97.31
166,office,6,3.5,84,36,32,40,30,235,S235,Zone 0,1.09,3.53,4.14,3867.59,40.62,100.0,88.75
167,residential,8,3.3,112,49,26,32,80,235,S235,Zone 1,0.61,2.26,3.82,9071.02,60.56,100.0,94.49
168,residential,8,2.7,112,49,24,28,20,355,S355,Zone 0,0.47,1.88,3.45,8115.41,57.82,98.95,89.44
169,office,12,4.5,144,64,30,50,80,235,S235,Zone 1,1.7,3.71,4.04,129106.62,48.61,100.0,96.78
170,residential,8,3.3,112,49,28,45,60,460,S460,Zone 2,0.43,1.51,3.94,1723.64,41.01,100.0,90.96
171,residential,3,3.0,24,9,16,40,35,420,S420,Zone 3,0.61,2.39,3.37,92.8,215.94,61.07,59.33
172,commercial,1,4.5,24,9,24,26,40,460,S460,Zone 0,0.9,4.11,5.19,28.86,112.67,96.67,97.23
173,commercial,5,3.5,40,16,36,50,45,420,S420,Zone 1,0.47,4.16,5.34,479.89,32.62,100.0,90.11
174,commercial,3,4.5,40,16,16,45,35,420,S420,Zone 1,1.06,4.6,6.49,479.68,450.38,49.55,86.27
175,residential,3,2.7,24,9,16,26,80,355,S355,Zone 0,0.47,1.83,3.96,146.85,234.07,63.19,100.0
176,residential,3,2.7,24,9,20,20,20,355,S355,Zone 3,0.39,1.94,3.44,686.16,99.02,76.57,55.9
177,residential,8,2.7,60,25,22,40,40,355,S355,Zone 3,0.78,2.18,3.09,3841.25,87.06,98.09,70.23
178,residential,4,3.3,24,9,30,45,20,460,S460,Zone 2,1.05,2.36,3.0,882.39,34.28,100.0,75.13
179,residential,10,3.0,144,64,40,45,20,420,S420,Zone 1,0.44,2.25,3.14,4519.77,13.25,100.0,86.6
180,industrial,2,4.5,24,9,12,16,90,460,S460,Zone 0,1.07,8.06,9.49,3946.12,1520.45,42.85,100.0
181,industrial,1,5.0,24,9,10,28,30,355,S355,Zone 1,0.84,5.62,8.23,776.69,2346.54,49.78,83.32
182,office,15,4.0,220,100,32,45,30,460,S460,Zone 1,0.88,3.17,5.6,196386.77,46.46,100.0,91.91
183,industrial,1,6.0,24,9,14,30,45,420,S420,Zone 1,0.79,5.83,8.58,200.87,895.3,51.25,88.29
184,industrial,1,5.0,24,9,16,20,90,355,S355,Zone 1,0.61,8.03,7.46,136.22,672.44,53.2,93.52
185,office,10,3.5,144,64,45,50,60,355,S355,Zone 2,0.57,2.81,5.85,5143.37,15.07,100.0,90.57
186,residential,2,2.7,24,9,12,20,80,460,S460,Zone 1,0.44,1.94,4.99,202.05,596.18,51.71,96.05
187,office,5,3.5,40,16,40,60,45,420,S420,Zone 4,0.73,2.75,4.49,352.22,17.8,100.0,58.43
188,commercial,4,4.0,24,9,30,50,40,420,S420,Zone 3,0.79,4.58,7.0,718.35,73.88,100.0,65.29
189,residential,8,3.3,84,36,40,45,70,275,S275,Zone 1,0.92,2.35,4.42,4845.16,15.88,100.0,94.31
190,office,10,4.0,112,49,55,60,45,460,S460,Zone 2,0.95,3.52,4.93,10492.18,9.0,100.0,90.53
191,industrial,2,5.0,40,16,22,50,35,355,S355,Zone 1,1.19,7.56,7.97,87.39,253.55,65.65,84.45
192,industrial,1,6.0,24,9,22,28,50,460,S460,Zone 1,1.26,5.02,8.56,85.98,195.88,68.01,90.38
193,residential,3,2.7,24,9,22,36,25,460,S460,Zone 0,0.75,2.13,4.29,123.25,94.42,88.12,93.48
194,commercial,3,4.0,40,16,14,18,25,275,S275,Zone 3,0.59,4.74,6.67,7019.35,625.51,44.6,55.35
195,commercial,4,3.5,60,25,22,28,30,275,S275,Zone 0,0.73,4.28,6.37,1807.58,155.75,68.07,89.81
196,office,10,3.5,112,49,60,60,25,460,S460,Zone 4,0.92,2.62,5.0,8164.07,5.95,100.0,71.24
197,residential,2,2.7,40,16,22,24,50,355,S355,Zone 3,0.79,2.41,3.64,39.72,87.0,100.0,60.59
198,office,25,3.5,220,100,45,60,70,235,S235,Zone 0,1.51,3.17,5.17,443315.99,13.56,100.0,98.75
199,office,5,4.0,40,16,40,50,45,420,S420,Zone 0,1.21,3.25,4.57,2048.68,20.31,100.0,97.42
200,residential,6,3.3,40,16,36,36,80,460,S460,Zone 0,0.5,1.56,4.68,2183.77,20.57,100.0,100.0
201,commercial,2,4.5,24,9,10,32,30,235,S235,Zone 3,0.56,4.89,5.87,711.63,1700.35,43.53,55.47
202,industrial,1,5.0,24,9,12,40,20,420,S420,Zone 2,0.95,5.83,8.85,423.34,1504.53,67.97,74.08
203,commercial,6,4.5,40,16,32,32,40,420,S420,Zone 3,1.06,4.36,6.91,54901.51,54.97,100.0,75.32
204,office,5,4.0,84,36,28,28,50,235,S235,Zone 0,0.96,3.58,4.74,9890.25,64.23,100.0,93.75
205,office,12,4.5,144,64,45,50,70,420,S420,Zone 2,0.81,3.09,5.43,56570.47,16.33,100.0,96.99
206,residential,4,2.7,24,9,32,60,80,460,S460,Zone 1,0.85,1.88,3.67,35.99,25.38,100.0,96.05
207,office,8,4.5,84,36,22,32,35,460,S460,Zone 1,1.44,3.52,4.62,192898.23,130.6,76.69,91.79
208,office,25,4.5,220,100,45,50,90,235,S235,Zone 0,0.76,2.94,5.55,1403708.15,14.63,100.0,100.0
209,residential,2,3.3,24,9,16,50,50,420,S420,Zone 3,0.3,2.28,4.56,59.96,265.01,100.0,61.67
210,residential,2,2.7,24,9,12,14,50,420,S420,Zone 0,0.98,2.29,4.98,649.01,744.64,45.11,98.67
211,residential,4,3.3,40,16,28,50,80,235,S235,Zone 2,0.81,1.65,4.62,142.9,45.24,100.0,81.46
212,office,6,3.5,84,36,28,45,60,420,S420,Zone 2,0.51,3.54,5.86,853.98,65.63,100.0,87.93
213,residential,4,3.0,60,25,24,60,40,460,S460,Zone 2,1.02,2.05,3.36,53.42,64.17,100.0,79.0
214,commercial,2,3.5,40,16,16,16,20,355,S355,Zone 3,0.92,4.96,5.39,1380.42,449.86,47.98,55.9
215,commercial,6,3.5,84,36,30,30,25,355,S355,Zone 0,0.63,4.01,6.66,8661.79,62.16,100.0,90.69
216,office,6,4.0,60,25,36,60,80,420,S420,Zone 1,1.05,2.74,5.13,1302.45,27.32,100.0,98.71
217,residential,2,2.7,24,9,22,60,40,275,S275,Zone 1,0.81,1.6,3.86,12.31,82.75,100.0,83.66
218,office,5,3.5,60,25,40,50,90,275,S275,Zone 4,0.45,3.06,4.78,224.21,21.51,100.0,60.61
219,industrial,2,5.0,24,9,12,40,35,460,S460,Zone 2,0.76,6.2,6.77,440.39,1119.1,45.16,77.99
220,office,5,3.5,40,16,24,24,20,275,S275,Zone 2,0.53,3.58,5.13,13829.86,98.53,84.74,74.21
221,commercial,1,4.5,24,9,22,36,80,460,S460,Zone 1,0.86,4.5,5.41,25.24,141.31,100.0,96.05
222,residential,10,3.0,112,49,36,50,80,355,S355,Zone 2,0.71,2.34,3.66,3314.65,21.96,100.0,92.85
223,office,5,3.5,40,16,36,60,60,420,S420,Zone 1,0.41,3.65,4.0,157.8,26.68,100.0,93.58
224,residential,12,3.3,220,100,50,50,35,355,S355,Zone 3,0.4,1.81,4.46,6558.63,7.99,100.0,78.03
225,commercial,3,4.0,24,9,18,36,90,355,S355,Zone 0,0.77,4.81,6.97,470.63,320.23,57.76,100.0
226,office,10,4.5,180,81,55,60,80,275,S275,Zone 0,0.68,2.9,5.26,7649.35,7.73,100.0,100.0
227,industrial,2,6.0,24,9,18,28,20,235,S235,Zone 2,0.71,7.24,6.64,2218.2,354.58,49.53,70.08
